Origen_Continente;Origen;Destino;Destino_Provincia;Anyo;Mes;Mes_Nombre;Tiempo_Medio_Estancia;Gasto_Medio_Diario_PorVisitante;Total_Turistas;Total_Pernoctaciones
Europa;Alemania;Andalucía;Almería;2021;1;Enero;11;76,38;2993;32923
Europa;Alemania;Andalucía;Almería;2021;2;Febrero;15,2;76,38;2424;36845
Europa;Alemania;Andalucía;Almería;2021;3;Marzo;15,5;76,38;2465;38208
Europa;Alemania;Andalucía;Almería;2021;4;Abril;17,2;76,38;2319;39887
Europa;Alemania;Andalucía;Almería;2021;5;Mayo;14,7;76,38;2443;35912
Europa;Alemania;Andalucía;Almería;2021;6;Junio;13,2;76,38;2824;37277
Europa;Alemania;Andalucía;Almería;2021;7;Julio;13,9;76,38;4078;56684
Europa;Alemania;Andalucía;Almería;2021;8;Agosto;13,8;76,38;4458;61520
Europa;Alemania;Andalucía;Almería;2021;9;Septiembre;12,3;76,38;4346;53456
Europa;Alemania;Andalucía;Almería;2021;10;Octubre;12,1;76,38;5690;68849
Europa;Alemania;Andalucía;Almería;2021;11;Noviembre;12,7;76,38;4456;56591
Europa;Alemania;Andalucía;Almería;2021;12;Diciembre;13,9;76,38;4269;59339
Europa;Andorra;Andalucía;Almería;2021;1;Enero;8,1;82,04;49;397
Europa;Andorra;Andalucía;Almería;2021;3;Marzo;8,6;82,04;30;258
Europa;Andorra;Andalucía;Almería;2021;4;Abril;5,6;82,04;38;213
Europa;Andorra;Andalucía;Almería;2021;5;Mayo;7,5;82,04;70;525
Europa;Andorra;Andalucía;Almería;2021;6;Junio;8,8;82,04;96;845
Europa;Andorra;Andalucía;Almería;2021;7;Julio;8,7;82,04;179;1557
Europa;Andorra;Andalucía;Almería;2021;8;Agosto;12;82,04;260;3120
Europa;Andorra;Andalucía;Almería;2021;9;Septiembre;13,2;82,04;171;2257
Europa;Andorra;Andalucía;Almería;2021;10;Octubre;11;82,04;96;1056
Europa;Andorra;Andalucía;Almería;2021;11;Noviembre;8,1;82,04;92;745
Europa;Andorra;Andalucía;Almería;2021;12;Diciembre;8,4;82,04;43;361
Europa;Austria;Andalucía;Almería;2021;1;Enero;5,2;73,55;667;3468
Europa;Austria;Andalucía;Almería;2021;2;Febrero;5,4;73,55;532;2873
Europa;Austria;Andalucía;Almería;2021;3;Marzo;7,3;73,55;524;3825
Europa;Austria;Andalucía;Almería;2021;4;Abril;7;73,55;841;5887
Europa;Austria;Andalucía;Almería;2021;5;Mayo;7,2;73,55;814;5861
Europa;Austria;Andalucía;Almería;2021;6;Junio;6,2;73,55;1049;6504
Europa;Austria;Andalucía;Almería;2021;7;Julio;7,4;73,55;2149;15903
Europa;Austria;Andalucía;Almería;2021;8;Agosto;9,2;73,55;2208;20314
